day,btc,eth
2018-04-22,8795.01,620.07
2018-04-23,8931.3,642.85
2018-04-24,9645.1,703.38
2018-04-25,8865.98,617.49
2018-04-26,9272.11,661.0
2018-04-27,8922.55,643.11
2018-04-28,9329.99,682.0
2018-04-29,9389.01,687.51
2018-04-30,9243.83,669.81
2018-05-01,9072.29,670.75
2018-05-02,9190.48,685.02
2018-05-03,9725.74,775.51
2018-05-04,9685.0,783.01
2018-05-05,9800.0,812.0
2018-05-06,9600.0,784.28
2018-05-07,9353.0,752.42
2018-05-08,9177.82,746.99
2018-05-09,9300.08,750.0
2018-05-10,9010.51,723.51
2018-05-11,8403.33,678.05
2018-05-12,8475.0,684.66
2018-05-13,8686.1,729.29
2018-05-14,8670.0,726.9
2018-05-15,8477.46,706.08
2018-05-16,8344.0,707.45
2018-05-17,8059.0,668.56
2018-05-18,8238.51,694.5
2018-05-19,8235.6,695.96
2018-05-20,8516.86,714.0
2018-05-21,8393.44,696.77
2018-05-22,7987.7,640.5
2018-05-23,7505.0,577.2
2018-05-24,7584.15,602.64
2018-05-25,7459.11,584.02
2018-05-26,7337.95,584.99
2018-05-27,7346.64,570.75
2018-05-28,7107.94,511.33
2018-05-29,7460.0,566.66
2018-05-30,7380.01,557.22
2018-05-31,7485.0,577.1
2018-06-01,7514.32,578.89
2018-06-02,7636.42,590.46
2018-06-03,7706.37,618.63
2018-06-04,7487.37,591.5
2018-06-05,7612.51,607.6
2018-06-06,7655.0,606.18
2018-06-07,7684.93,603.56
2018-06-08,7618.8,598.59
2018-06-09,7496.4,593.41
2018-06-10,6770.31,525.25
2018-06-11,6881.0,531.68
2018-06-12,6545.0,494.14
2018-06-13,6302.31,476.02
2018-06-14,6638.49,519.75
2018-06-15,6391.22,487.45
2018-06-16,6484.29,497.31
2018-06-17,6447.16,496.5
2018-06-18,6709.02,517.47
2018-06-19,6736.41,538.5
2018-06-20,6759.18,536.0
2018-06-21,6719.01,525.49
2018-06-22,6059.82,462.01
2018-06-23,6178.29,475.17
2018-06-24,6149.99,454.79
2018-06-25,6246.01,458.41
2018-06-26,6074.0,429.08
2018-06-27,6132.17,441.41
2018-06-28,5851.66,420.0
2018-06-29,6202.36,434.6
2018-06-30,6383.19,453.29
2018-07-01,6349.5,451.43
2018-07-02,6611.79,476.34
2018-07-03,6502.62,461.75
2018-07-04,6587.47,466.9
2018-07-05,6532.95,467.25
2018-07-06,6600.0,469.3
2018-07-07,6753.28,484.48
2018-07-08,6701.97,486.08
2018-07-09,6664.01,471.6
2018-07-10,6303.7,432.59
2018-07-11,6390.04,446.25
2018-07-12,6249.75,431.46
2018-07-13,6216.29,432.8
2018-07-14,6248.65,434.13
2018-07-15,6348.73,449.41
2018-07-16,6728.81,478.18
2018-07-17,7315.01,499.01
2018-07-18,7378.99,478.81
2018-07-19,7470.01,468.39
2018-07-20,7334.46,448.21
